闹钟	N
闹钟 设置	N RV
设置 闹钟	RV N
重新 打开 闹钟	LT RV N
帮 我 设 1下 闹钟	RV RP RV NUNIT N
新建 闹钟	RV N
新建 1个 闹钟	RV NUNIT N
我 要 设 闹钟	RP LV RV N
设 个 闹钟	RV QS N
设 个 闹铃	RV QS N
弄 个 闹钟	RV QS N
搞 个 闹钟	RV QS N
建 个 闹钟	RV QS N
来 个 闹钟	LV QS N
调 个 闹钟	RV QS N
来 设 个 闹钟	LV RV QS N
来 调 个 闹钟	LV RV QS N
折腾 个 闹钟	RV QS N
倒腾 个 闹钟	RV QS N
加 个 闹铃	LV QS N
1点 叫 我	TIME RV RP
1点 call 我	TIME RV RP
1点 闹 1下	TIME RV NUNIT
加 个 半个小时后 的 闹铃	LV QS TIME AUX N
设 个 星期二早上6点 的 闹钟	RV QS TIME AUX N
新建 1个 早上7点半 的 闹钟	RV NUNIT TIME AUX N
加 3个 闹铃 9点 10点 11点	LV NUNIT N TIME TIME TIME
加 2个 闹铃	LV NUNIT N
打开 闹钟	RV N
8点 提醒 我	TIME RV RP
一小时后 提醒 我	TIME RV RP
一个小时后 提醒 我	TIME RV RP
加 1个 会议 的 闹钟 3点	LV NUNIT N AUX N TIME
提醒 我 明天9点 去 取 护照	RV RP TIME LV RV NB
明天8点 会议 很 重要 提醒 我	TIME N M M RV RP
40分钟后 提醒 我 开会	TIME RV RP RV
定 个 晚上10点 去 跑步 的 闹钟	RV QS TIME LV RV AUX N
明天下午两点 出门	TIME RV
15分钟后 出门	TIME RV
早上6点 我 要 去 跑步	TIME RP LV LV RV
早上7点 起床 给 媳妇 做 早饭	TIME RV LBEI NB RV N
早上8点 去 上班	TIME LV RV
9点30 有 个 项目会 要 开	TIME L QS N LV M
提醒 我 9点30 有 个 项目会 要 开	RV RP TIME L QS N LV M
公司 下午茶 订 在 15点30	NP N RV LV TIME
晚上10点半 必须 回家	TIME LM RV
提醒 我 晚上10点半 必须 回家	RV RP TIME LM RV
提醒 我 赶 明天早上10点 的 飞机	RV RP RV TIME AUX N
下午4点半 要 去 幼儿园 接 孩子	TIME LV LV N RV NB
下周二 提醒 我 1点 去 机场 接 人	TIME RV RP TIME LV N RV N
提醒 我 下周三12点 去 机场 接 人	RV RP TIME LV N RV N
我 起床 了	RP RV AUX
起床 啦	RV AUX
我 起来 了	RP LV AUX
起来 了	LV AUX
我 醒 了	RP RV AUX
得 了 得 了	AUX AUX AUX AUX
可以 啦	LM AUX
别 闹 了	LNO RV AUX
别 烦 了	LNO M AUX
别 叫 了	LNO RV AUX
别 喊 了	LNO RV AUX
吵 死 了	M M AUX
烦 死 人 了	M M N AUX
有 什么 好 闹 的	L QP M RV AUX
有 什么 要 闹 的	L QP LV RV AUX
太 吵 了	LL M AUX
太 闹 了	LL RV AUX
真 恶心	M M
太 恶心 了	LL M AUX
吵 死 了	M M AUX
行 了 吧 你	LT AUX AUX RP
够 了	M AUX
笨蛋 闹钟	N N
垃圾 闹钟	N N
蠢 闹钟	N N
狗日 的 闹钟	N AUX N
你 赢 了	RP M AUX
叫 什么 叫	RV QP RV
喊 什么 喊	RV QP RV
明天 后天 不要 叫 我 起床	TIME TIME LNO RV RP RV
明天后 天 不要 叫 我 起床	TIME QS LNO RV RP RV
工作日 响	N M
铃音 不 好 听	N LNO M RV
换 个 铃音	RV QS N
换 个 铃声	RV QS N
铃声 不 好 听	N LNO M RV
换 个 风格	RV QS N
换 个 温柔 1点 的 铃声	RV QS M TIME AUX N
只 响 1次	LL M NUNIT
叫 醒 为止	RV RV M
改成 每天 提醒	LT LT RV
再 睡会	LV RV
待会 再 响	LT LV M
5分钟后 你 继续	TIME RP LV
6分钟后 你 再 叫	TIME RP LV RV
给 我 10分钟	LBEI RP TIME
等 我 10分钟	RV RP TIME
再 给 我 10分钟	LV LBEI RP TIME
闹钟 设置 打开	N RV RV
关闭 闹钟	RV N
关闭 两点 到 三点 的 闹铃	RV TIME LV TIME AUX N
7点半 的 闹钟 取消	TIME AUX N RV
